,address,lat,lon,title
161,"3F., No.30 Xining South Road, Wanhua District, Taipei 10842, Taiwan ",25.04586,121.50682,Muzik Hotel - Xining
162,"No.52 Section1 Changan East Road, Taipei, Taiwan ",25.048363,121.5279,Charming Castle Hotel
163,"No.11 Jingye 3rd Road, Zhongshan District, Taipei, Taiwan ",25.083551,121.556175,Wego Boutique Hotel-Dazhi
164,"No.1, Aly 34, Ln.123, Sec. 6, Minquan E. Rd, Taipei 114, Taiwan (Formerly Fushin hotel)",25.070543,121.5929,Hotel June Taipei
165,"No.59 Chongyang Road, Nangang District, Taipei 115, Taiwan ",25.05564,121.59688,Gallery Hotel
166,"No.19 Hankow Street, Section 1, Taipei 100, Taiwan ",25.04518,121.51402,Hotel Flowers
167,"No.24 Changchun Road, Zhongshan District, Taipei, Taiwan ",25.05,121.52,Friends Yu-Yu Hotel
168,"4F, No.197, Section 2, Yanping North Road, Datong District, Taipei 103, Taiwan (Formerly Paihsuan Hotel)",25.05931,121.51144,V-one Vogue Hotel
169,"No.141 Kunming Street, Taipei, Taiwan ",25.041857,121.50459,New World Hotel
170,"No.168 Changhua Road, Section 1, Wanhua District, Taipei 108, Taiwan ",25.04053,121.50776,Burgary Hotel
171,"No.462 Section 5, Chengkung Road, Neihu District, Taipei, Taiwan ",25.07353,121.6063,City Lake Hotel Taipei
172,"No.64 Taiyuan Road, Datong District, Taipei, Taiwan ",25.053194,121.51598,Lan Ting Business Hotel
173,"No.24 Lane 170 Dehuei Street, Jhongshan District, Taipei 104, Taiwan (Formerly Aristocrat Hotel)",25.06506,121.53179,The Metro Hotel
174,"No.12 Pei-Ping East Road, Zhongzheng District, Taipei, Taiwan ",25.04619,121.52452,Welcome Hotel
175,"No.14, Lane 56, Section 3, Xinsheng North Road, Zhongshan District, Taipei 104, Taiwan ",25.06536,121.52685,Taipei Lotty Hotel
176,"No.66 Nanking East Road, Section1, Taipei 104, Taiwan ",25.05207,121.52508,Taipei International Hotel
177,"No.279 Chang Chun Road, Zhongshan, Taipei, Taiwan ",25.05475,121.5414,City Hotel
178,"No.26, Lane 31 Shaoxing North Road, Zhongzheng District, Taipei, Taiwan ",25.04509,121.52619,Good Life Hotel
179,"5F., No.10, Ln. 27, Chengdu Road, Ximending, Taipei 108, Taiwan ",25.043177,121.50675,Good 9 Stay Inn
180,"No.37 Ln. 103, Sec. 1, Xinsheng South Road, Da'an District, Taipei, Taiwan ",25.04072,121.53594,Rose Boutique Hotel
181,"No.17-3 Lane 77, Section 2, Chungshan North Road, Taipei 104, Taiwan (Formerly Golden Time Hotel)",25.057611,121.52377,Wish Hotel
182,"No.98 Lin Sen North Road, Zhongshan District, Taipei 100, Taiwan ",25.05023,121.52483,Astar Hotel
183,"No.163 Section 2, Nanjing East Road, Taipei 104, Taiwan ",25.05224,121.53597,MAI HOTEL-Nanjin E.Branch
184,"No.23-1 Shuang Cheng Street, Zhongshan District, Taipei 104, Taiwan ",25.06586,121.52431,Friends Yo Lai Regency
185,"No.15 Lane 105, Sec. 1, Zhongshan North Road, Taipei 10446, Taiwan ",25.050827,121.52359,Mai Hotel Zhongshan
186,"No.111 Section 3, Minsheng East Road, Songshan Dist., Taipei 105, Taiwan ",25.058088,121.54586,The Sherwood Taipei
187,"No.16 Section 4, Pa-Teh Road, Taipei 101, Taiwan ",25.048435,121.55826,Charming Hotel
188,"No.16, Sec. 4, Jhongshan N. Rd., Taipei 111, Taiwan ",25.079487,121.52441,Chientan Youth Activity Center
189,"No.18 Lane 97, Sungjiang Road, Taipei, Taiwan ",25.050987,121.53436,Happiness Hotel
190,"No.185 Sec.1, Daan Road, Daan District, Taipei 10691, Taiwan ",25.0361,121.54618,Swiio Hotel Daan
191,"No.338 Fuxing N. Rd., Zhongshan District, Taipei 104, Taiwan ",25.059544,121.544,"Cityinn Hotel Plus - Fuxing N. Rd., Branch"
192,"No.4 Section 1, Hankou Street, Jhongjheng District, Taipei, Taiwan ",25.04507,121.51472,Miyi Hotel
193,"No.41 Kangding Road, Wanhua District, Taipei 108, Taiwan ",25.041658,121.50241,Ferrary Hotel
194,"3F., No.246, Sec.2, Changan E. Rd., Taipei 10492, Taiwan ",25.04817,121.54311,Ark Hotel - Chang'an Fuxing
195,"No.34 Huaining Street, Zhongzheng District, Taipei 10047, Taiwan ",25.045086,121.51407,Hotel Relax 3
196,"5F., No.8, Nanyang St, Taipei 10047, Taiwan ",25.0452,121.51606,Morwing Hotel - Culture Vogue
197,"No.7 Sec. 1, Chongqing South Road, Zhongzheng Dist., Taipei 10046, Taiwan ",25.0464,121.51337,Bouti Capsule Inn
198,"No.8 Sec.3, Ren'ai Road, Daan District, Taipei 106, Taiwan ",25.03783,121.53358,Sonnien Hotel
199,"No.57-1 Section 2, Zhongshan North Road, Taipei 10412, Taiwan ",25.055792,121.52299,amba Taipei Zhongshan
200,"No.182, Guisui St., Datong Dist, Taipei 10346, Taiwan ",25.058065,121.51222,Jianshan Hotel
201,"3F, No.36 Sec.1, Kai Fung Street, Zhongzheng District, Taipei 100, Taiwan ",25.04684,121.51434,Morwing Hotel - Fairy Tale
202,"No.98 Yanchang Road, Xinyi District, Taipei 11072, Taiwan ",25.044977,121.5615,Eslite Hotel
203,"No.56 Section 1, Da'an Road, Da'an District, Taipei 106, Taiwan ",25.04301,121.54606,Hotel Proverbs Taipei
204,"No.359 Section 7, Zhongxiao East Road, Nangang District, Taipei 11561, Taiwan ",25.05251,121.60606,Courtyard Taipei
205,"No.21 Sec.1, Chongqing South Road, Taipei, Taiwan ",25.04581,121.51337,Green World Station
206,,,,
207,"No. 199, Lequn 2nd Road, Taipei, Taiwan, Taipei 10462, Taiwan ",25.080334,121.55896,Taipei Marriott Hotel
208,"1F, No. 219-2, Sec. 1, Fuxing S. Rd., Da'an District, Taipei 10666, Taiwan (Formerly Home Hotel - Da'an)",25.038988,121.54386,Home Hotel - Da'An
209,"4F., No 124-2 Section 2, Wuchang Street, Wanhua District, Taipei, Taiwan ",25.04536,121.50377,Art'otel
210,"No.39, Sec.1, Chongqing S. Rd., Taipei, Taiwan ",25.04528,121.51336,Poshpacker Hotel
211,"No.16 Section 3, Nanjing East Road, Zhongshan District, Taipei 10489, Taiwan ",25.05179,121.53758,U Hotel Taipei - Nanjing East Road
212,"10F, No.36 Xining South Road, Taipei 10842, Taiwan ",25.045687,121.50652,Click Hotel
213,"No.13-1 Ln.125, Sec.1 Xiyuan Road, Wanhua District, Taipei 108, Taiwan ",25.03759,121.49982,Longshan Inn
214,"No.100 Dunhua North Road, Songshan Dist, Taipei 10547, Taiwan (Formerly Asia World Plaza, Holiday Inn Asia World)",25.053047,121.54675,Sunworld Dynasty Hotel Taipei
215,"No.181 Section 2, ChungShan North Road, Zhongshan District, Taipei 104, Taiwan ",25.06323,121.52265,Sansui Hotel
216,"1-7F, No.60, Sec.1, Zhongqing S. Road, Taipei 100, Taiwan ",25.04382,121.5131,Via Hotel Premium
217,"No.3 Sec 1, Chengde Road, Taipei 103, Taiwan ",25.049334,121.51717,Palais de Chine Hotel
218,"No.16 Lane 107 Linshen North Road, Zhongshan District, Taipei 104, Taiwan ",25.05015,121.52573,Liz Hotel
219,"19F, No. 50, Section 1, Zhongxiao West Road, Taipei, Taiwan ",25.04651,121.51589,Taming Business Hotel
220,"No.18, Lane 77, Section 2, Chungshan North Road, Taipei, Taiwan ",25.05737,121.52461,Green Peak Hotel
221,"No.88 Han Kou Street, Taipei 094, Taiwan ",25.045101,121.511955,Chair Man Hotel
222,"No.353 Chang Chun Road, Taipei 105, Taiwan ",25.05453,121.54558,Howard Garden Suites
223,"No.275 Section 1, Fuhsing South Road, Taipei, Taiwan ",25.035746,121.54382,Hope City Fushing Hotel
224,"No.173-1 Chengdu Road, Taipei, Taiwan ",25.044178,121.50185,New Riverview Suites
